187,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",15
188,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657 M","",20
189,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",2
190,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",13
191,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",21
192,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",27
193,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",9
194,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",1
195,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",1
196,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",2
197,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",0
198,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",3
199,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",1
200,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",3
201,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",2
202,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",0
203,"PROBLEMARIO LOGICA SIMBOLICA","PAREDES, JULIO C.","511P","",4
204,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",5
205,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",3
206,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",11
207,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",4
208,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",4
209,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",7
210,"CURSO DE ECONOMIA POLITICA","NAPOLIONI, CLAUDIO","330 N","",12
211,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",3
212,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",3
213,"ECONOMIA POLITICA I","LANGE, OSKAR","330L","",6
214,"BIOQUIMICA","LEHNINGER, ALBERT","574 L","",25
217,"BIOQUIMICA","LEHNINGER, ALBERT","574L","",10
220,"BIOQUIMICA","LEHNINGER, ALBERT","547 L","",20
222,"BIOQUIMICA","LEHNINGER, ALBERT","574 L","",24
229,"METODOS DE LAS CIENCIAS SOCIALES","DUVERGER, MAURICE","300D","",6
230,"METODOS DE LAS CIENCIAS SOCIALES","DUVERGER, MAURICE","300D","",8
231,"METODOS DE LAS CIENCIAS SOCIALES","DUVERGER, MAURICE","300D","",8
232,"METODOS DE LAS CIENCIAS SOCIALES","DUVERGER, MAURICE","300D","",5
233,"DESARROLLO DEL NINO, EL","BEE, HELEN","612B","",15
234,"DESARROLLO DEL NINO, EL","BEE, HELEN","612B","",23
235,"DESARROLLO DEL NINO, EL","BEE, HELEN","612B","",20
236,"HIDRAULICA DE LOS CANALES ABIERTOS","CHOW, VEN TE","627CH","",4
249,"COMPENDIO DE DIDACTICA GENERAL","DE MATTOS, LUIZ A.","370D","",16
250,"COMPENDIO DE DIDACTICA GENERAL","DE MATTOS, LUIZ A.","370D","",21
261,"MICROBIOLOGIA MEDICA","JAWETZ, ERNEST","616 J","",12
262,"MICROBIOLOGIA MEDICA","JAWETZ, ERNEST","616 J","",14
267,"CAFE EN VENEZUELA, EL","HENAO J, JAIME","633H","",2
268,"CAFE EN VENEZUELA, EL","HENAO J, JAIME","633H","",3
269,"CAFE EN VENEZUELA, EL","HENAO J, JAIME","633H","",3
270,"CAFE EN VENEZUELA, EL","HENAO J, JAIME","633H","",2
271,"CAFE EN VENEZUELA, EL","HENAO J, JAIME","633H","",1
272,"CAFE EN VENEZUELA, EL","HENAO J, JAIME","633H","",4
273,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",0
274,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",12
275,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",8
276,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",10
277,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",5
278,"NATURALEZA Y PROPIEDADES DE LOS SUELOS","BUCKMAN, HARRY","631B","",13
